"Region Code","Timestamp (Hour Ending)","CAL Demand (MWh)","CAR Demand (MWh)","CENT Demand (MWh)","FLA Demand (MWh)","MIDA Demand (MWh)","MIDW Demand (MWh)","NE Demand (MWh)","NW Demand (MWh)","NY Demand (MWh)","SE Demand (MWh)","SW Demand (MWh)","TEN Demand (MWh)","TEX Demand (MWh)"
US48,"9/21/2023 8 a.m. EDT",26435,22377,28109,26826,83430,76055,11990,31693,15204,23282,10730,15828,50173
US48,"9/21/2023 9 a.m. EDT",27544,22853,29120,28852,84986,78819,11320,34013,15167,23828,11169,16261,51014
US48,"9/21/2023 10 a.m. EDT",29636,23590,29874,31670,87069,81163,10420,36259,14843,24699,11367,16956,52788
US48,"9/21/2023 11 a.m. EDT",30744,24658,30852,34257,89355,83966,9950,37584,14628,25919,11236,17669,55858
US48,"9/21/2023 12 p.m. EDT",30483,25799,32000,36932,91971,87377,9790,37820,14670,27228,11575,18587,59906
US48,"9/21/2023 1 p.m. EDT",29657,27038,33298,39131,94708,91033,9890,37901,14818,28654,11829,19595,64329
US48,"9/21/2023 2 p.m. EDT",28667,28319,34519,40761,96869,94564,10170,37966,15042,29896,12540,20644,68667
US48,"9/21/2023 3 p.m. EDT",28001,29251,35932,41349,98649,97697,10600,38207,15280,30974,13451,21643,72239
US48,"9/21/2023 4 p.m. EDT",27848,29924,36881,41427,100405,99718,11150,38668,15757,31715,14433,22430,74296
US48,"9/21/2023 5 p.m. EDT",28379,30321,37722,41314,101369,100820,12280,39041,16428,32045,15286,22962,75008
US48,"9/21/2023 6 p.m. EDT",29380,30213,38198,40257,100029,100971,13520,39530,17020,32054,16015,23138,74808
US48,"9/21/2023 7 p.m. EDT",31041,29602,37912,38601,97491,99928,14170,40025,17404,31334,16662,22663,73442
US48,"9/21/2023 8 p.m. EDT",32930,28809,36994,37374,95485,97714,14200,40786,17748,30434,16906,21898,70841
US48,"9/21/2023 9 p.m. EDT",34289,28068,35874,35791,91522,95195,13690,41093,17306,29849,17216,21571,67891
US48,"9/21/2023 10 p.m. EDT",35131,26441,34927,33442,85553,92144,12790,40943,16414,28489,17353,20422,65439
US48,"9/21/2023 11 p.m. EDT",35526,24335,33402,30648,79626,87333,11710,40678,15315,26510,16788,19014,62235
US48,"9/22/2023 12 a.m. EDT",34607,22405,31374,27904,75015,81718,10750,39483,14259,24595,15759,17284,58520
US48,"9/22/2023 1 a.m. EDT",33216,,29279,,,77251,,37263,,22899,14473,16016,54891
US48,"9/22/2023 2 a.m. EDT",31220,,,,,,,34897,,,13058,,
US48,"9/22/2023 3 a.m. EDT",29196,,,,,,,19926,,,11950,,
